KEYWORD,INTENT,GROUPS,LABELS,VOLUME,YOY TREND,SUM TOP10 CTR,[M] FEATURES,[D] FEATURES,[M] RANK,[M] CHANGE,[M] PAGE,[M] BEST RANK,[M] BEST RANK DATE,[M] AIO Brand Mention,[M] AIO Cited Rank,[M] AIO Cited Rank Change,[M] AIO Citation Status,[M] AIO Cited URL,[D] RANK,[D] CHANGE,[D] PAGE,[D] BEST RANK,[D] BEST RANK DATE,[D] AIO Brand Mention,[D] AIO Cited Rank,[D] AIO Cited Rank Change,[D] AIO Citation Status,[D] AIO Cited URL,DIFFICULTY,OPPORTUNITY,ADDED ON
victoria villas,transactional,Malta and Gozo,,1300,60%,100%,Images pack,Images pack,39,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/playa-blanca/villa-victoria,39,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,35,-,https://www.solmarvillas.com/destinations/spain-villas/canary-islands/lanzarote/playa-blanca/villa-victoria,35,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,5,2025-10-16
tsilivi villas,transactional,Greece,,480,0%,68%,"Video Carousel, Images pack, Questions, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/tsilivi,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/tsilivi,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,4,2025-10-16
paxos villas,transactional,Greece,,1000,-19%,100%,"Images pack, Questions",Images pack,100,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/paxos/gaios,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,100,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/paxos/gaios,100,N/A,No Brand Mentioned,Not Cited,-,,Not Cited,Hard,3,2025-10-16
sao rafael villas,transactional,Portugal,,90,0%,100%,Images pack,Images pack,8,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/sao-rafael,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,8,-,https://www.solmarvillas.com/destinations/portugal-villas/algarve/sao-rafael,8,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,3,2025-10-16
ibiza town villas,transactional,Spain,,210,0%,68%,"Video Carousel, Images pack, Hotels","Images pack, Hotels",4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/ibiza/ibiza-town,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/ibiza/ibiza-town,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
la manga club villas,commercial,Spain,Seasonal,170,-19%,88%,"Video Carousel, Images pack, Hotels",Images pack,4,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-calida/leisure-resorts/la-manga-club,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,4,-,https://www.solmarvillas.com/destinations/spain-villas/mainland-spain/costa-calida/leisure-resorts/la-manga-club,4,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
alykes villas,transactional,Greece,,90,-36%,100%,"Video Carousel, Images pack",Images pack,6,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/alykes/villa-stagionello,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/zakynthos/alykes/villa-stagionello,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
salgar villas,transactional,Spain,,20,67%,100%,Images pack,"Images pack, Questions",14,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/salgar,14,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,12,-,https://www.solmarvillas.com/destinations/spain-villas/balearic-islands/menorca/salgar,12,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Easy,2,2025-10-16
trapezaki villas,transactional,Greece,,70,-22%,78%,"Images pack, Local pack","Images pack, Local pack",6,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/trapezaki,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,6,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/trapezaki,6,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
argostoli villas,transactional,Greece,,90,-18%,68%,"Images pack, Hotels",Hotels,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/argostoli,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,5,-,https://www.solmarvillas.com/destinations/greece-villas/greek-islands/kefalonia/argostoli/villa-fanari,5,2025-10-16,No Brand Mentioned,Not Cited,-,,Not Cited,Top10,2,2025-10-16
